"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
868.071600,284.516708,4219.000000,77053612892.000000,45.000000,1,0,1,0,
866.862000,284.130386,3752.000000,77051542220.000000,46.000000,1,0,1,0,
866.901600,284.267792,3114.000000,77053194190.000000,45.000000,1,0,1,0,
867.812400,285.069229,3765.000000,77054829828.000000,45.500000,1,0,1,0,
868.842000,284.616104,7025.000000,77056610024.000000,45.500000,1,0,1,0,
