"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
733.280400,241.412323,6423.000000,65331776232.000000,44.500000,1,0,1,0,
732.646800,241.438080,3635.000000,65340220722.000000,43.500000,1,0,1,0,
733.446000,241.941345,7058.000000,65344078660.000000,42.500000,1,0,1,0,
732.700800,241.115845,3239.000000,65340162666.000000,42.500000,1,0,1,0,
739.065600,245.907654,3427.000000,65339558476.000000,43.500000,1,0,1,0,
