"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
926.492400,305.173004,3550.000000,82123978504.000000,43.500000,1,0,1,0,
919.602000,300.760101,6142.000000,82111545376.000000,44.000000,1,0,1,0,
919.627200,301.075867,3500.000000,82123562510.000000,44.000000,1,0,1,0,
919.627200,300.885132,3730.000000,82124229946.000000,44.000000,1,0,1,0,
919.299600,301.119125,4269.000000,82123678274.000000,43.500000,1,0,1,0,
