"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1619.341200,617.272812,38234104078.000000,52574625592.000000,39.000000,1,0,1,0,
1619.136000,617.569107,38225826900.000000,52570416060.000000,40.000000,1,0,1,0,
1618.920000,617.771500,38225671654.000000,52569807220.000000,40.000000,1,0,1,0,
1620.360000,618.043076,38224734185.000000,52567255388.000000,40.000000,1,0,1,0,
1621.080000,617.775604,38226208552.000000,52570175784.000000,39.500000,1,0,1,0,
