"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
3431.772000,478.121964,38416171775.000000,172827912164.000000,35.000000,1,0,1,0,
3435.480000,477.855530,38415904464.000000,172825544718.000000,35.000000,1,0,1,0,
3431.520000,478.602570,38414151661.000000,172825941828.000000,34.500000,1,0,1,0,
3435.840000,478.386459,38416102984.000000,172828744614.000000,34.000000,1,0,1,0,
3557.520000,477.684082,38415575722.000000,172826489664.000000,34.000000,1,0,1,0,
