"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2442.600000,332.221252,38330498416.000000,119102406062.000000,32.500000,1,0,1,0,
2439.396000,331.517380,38330643091.000000,119102893165.000000,34.000000,1,0,1,0,
2439.720000,331.509415,38328501241.000000,119101211870.000000,33.500000,1,0,1,0,
2437.920000,331.491043,38330205382.000000,119101299762.000000,33.500000,1,0,1,0,
2412.720000,332.737961,38330759485.000000,119105201363.000000,34.000000,1,0,1,0,
