"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2238.480000,593.091476,38278001014.000000,86584270324.000000,36.000000,1,0,1,0,
2237.184000,593.399460,38275953140.000000,86585620928.000000,37.000000,1,0,1,0,
2237.400000,593.967529,38278284051.000000,86584687768.000000,37.000000,1,0,1,0,
2241.000000,593.439713,38275792178.000000,86582434388.000000,37.000000,1,0,1,0,
2237.400000,592.787079,38275918106.000000,86583445376.000000,37.000000,1,0,1,0,
