"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1175.770800,435.677429,4519.000000,88300410916.000000,46.500000,1,0,1,0,
1175.040000,435.931198,3094.000000,88300076044.000000,47.000000,1,0,1,0,
1174.968000,436.315201,4678.000000,88300848212.000000,47.500000,1,0,1,0,
1175.400000,436.237595,4227.000000,88300801148.000000,47.500000,1,0,1,0,
1175.400000,436.304337,3330.000000,88300101592.000000,48.000000,1,0,1,0,
