"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
909.208800,339.984970,3435.000000,68455297492.000000,45.500000,1,0,1,0,
909.180000,340.892303,3015.000000,68454960424.000000,46.000000,1,0,1,0,
908.784000,340.372925,3027.000000,68455338008.000000,46.500000,1,0,1,0,
908.820000,340.564896,2936.000000,68455900056.000000,46.500000,1,0,1,0,
909.360000,340.461288,2733.000000,68454667056.000000,46.500000,1,0,1,0,
