"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
843.501600,315.077057,3086.000000,63336979548.000000,46.000000,1,0,1,0,
847.476000,315.554291,2829.000000,63335408588.000000,46.000000,1,0,1,0,
843.048000,315.594406,2973.000000,63335221748.000000,46.500000,1,0,1,0,
847.368000,315.609940,2722.000000,63335096084.000000,47.000000,1,0,1,0,
843.480000,315.798187,3076.000000,63335307004.000000,46.500000,1,0,1,0,
