"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1520.661600,309.337967,38241444996.000000,63212811301.000000,38.000000,1,0,1,0,
1526.590800,313.046783,38241022159.000000,63213881289.000000,38.500000,1,0,1,0,
1526.468400,312.060165,38243328790.000000,63213484080.000000,37.000000,1,0,1,0,
1522.911600,310.138611,38241084190.000000,63211767834.000000,37.500000,1,0,1,0,
1521.252000,309.849060,38241084882.000000,63212379616.000000,38.000000,1,0,1,0,
