"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1396.468800,286.371216,38232946777.000000,58109655129.000000,38.500000,1,0,1,0,
1397.682000,286.082733,38232615182.000000,58109911419.000000,38.500000,1,0,1,0,
1404.309600,286.158905,38232997381.000000,58111153206.000000,38.000000,1,0,1,0,
1398.981600,286.329803,38234639708.000000,58110407806.000000,37.500000,1,0,1,0,
1397.448000,286.359360,38232937394.000000,58110910524.000000,38.000000,1,0,1,0,
