"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1543.114800,312.743423,38242219939.000000,64060022785.000000,37.000000,1,0,1,0,
1544.169600,314.765854,38244721107.000000,64061552950.000000,37.000000,1,0,1,0,
1546.279200,316.974869,38244815492.000000,64062324038.000000,37.500000,1,0,1,0,
1543.075200,312.531479,38242472531.000000,64060784788.000000,36.500000,1,0,1,0,
1542.945600,313.426529,38242300537.000000,64059454052.000000,38.000000,1,0,1,0,
