"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1854.478800,388.443802,38265384746.000000,76899918116.000000,37.500000,1,0,1,0,
1842.706800,374.860245,38265075654.000000,76897717100.000000,38.000000,1,0,1,0,
1843.898400,374.475693,38265028119.000000,76898897145.000000,37.500000,1,0,1,0,
1849.528800,384.911652,38263060503.000000,76897960639.000000,39.000000,1,0,1,0,
1842.541200,374.512421,38263056536.000000,76898850748.000000,38.500000,1,0,1,0,
