"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
967.752000,315.747971,3869.000000,86159519620.000000,44.000000,1,0,1,0,
973.116000,319.093613,5985.000000,86169467474.000000,44.000000,1,0,1,0,
971.316000,318.135086,4487.000000,86162553586.000000,44.000000,1,0,1,0,
968.940000,316.055893,4220.000000,86161629658.000000,44.000000,1,0,1,0,
972.000000,318.859375,3391.000000,86160175032.000000,44.500000,1,0,1,0,
