"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1307.952000,297.140091,10015.000000,131092298764.000000,40.500000,1,0,1,0,
1310.688000,296.712585,4476.000000,131078945740.000000,40.000000,1,0,1,0,
1305.648000,296.939209,5284.000000,131081183610.000000,39.500000,1,0,1,0,
1309.320000,296.373428,4568.000000,131078828558.000000,40.000000,1,0,1,0,
1305.720000,296.579926,5010.000000,131081459088.000000,40.500000,1,0,1,0,
