"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2576.340000,495.238861,38315882560.000000,112118159110.000000,35.000000,1,0,1,0,
2582.964000,495.700623,38313939319.000000,112118691652.000000,34.500000,1,0,1,0,
2577.240000,495.943954,38315539805.000000,112116191430.000000,35.000000,1,0,1,0,
2586.240000,495.971970,38313454153.000000,112112243339.000000,35.000000,1,0,1,0,
2578.320000,495.182129,38315160779.000000,112112128773.000000,34.500000,1,0,1,0,
