"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
3307.896000,748.835312,38360446044.000000,137918625410.000000,38.500000,1,0,1,0,
3313.800000,748.800888,38360110788.000000,137917162723.000000,38.500000,1,0,1,0,
3307.680000,748.369888,38360556520.000000,137918007883.000000,37.500000,1,0,1,0,
3310.560000,748.173920,38358387024.000000,137917202227.000000,37.500000,1,0,1,0,
3304.080000,748.565521,38360768499.000000,137920296344.000000,38.000000,1,0,1,0,
