"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1873.562400,717.782394,38239837037.000000,61281816116.000000,40.500000,1,0,1,0,
1873.944000,717.280701,38244733396.000000,61288880384.000000,41.000000,1,0,1,0,
1873.440000,717.451767,38252065801.000000,61291342848.000000,41.000000,1,0,1,0,
1872.000000,716.882416,38241931082.000000,61284722696.000000,41.000000,1,0,1,0,
1872.360000,717.501602,38237651189.000000,61281307664.000000,41.500000,1,0,1,0,
