"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2646.360000,1021.811188,38278084377.000000,86555488144.000000,47.000000,1,0,1,0,
2645.784000,1021.939682,38276286013.000000,86556511248.000000,47.000000,1,0,1,0,
2645.280000,1021.294250,38278278277.000000,86556203708.000000,47.000000,1,0,1,0,
2646.720000,1021.594147,38276104575.000000,86554657684.000000,47.000000,1,0,1,0,
2645.280000,1022.110291,38278313884.000000,86556759696.000000,47.000000,1,0,1,0,
