"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2509.704000,958.504547,38281560264.000000,82633009296.000000,46.000000,1,0,1,0,
2500.452000,958.539642,38276294280.000000,82626835172.000000,46.000000,1,0,1,0,
2509.920000,957.645477,38272199153.000000,82623472912.000000,46.000000,1,0,1,0,
2500.560000,958.145981,38284880172.000000,82632394868.000000,46.000000,1,0,1,0,
2509.200000,957.154617,38275678648.000000,82626766168.000000,45.500000,1,0,1,0,
