"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
722.836800,238.840378,3298.000000,64300449004.000000,42.500000,1,0,1,0,
729.936000,240.435196,3069.000000,64300617652.000000,42.500000,1,0,1,0,
718.092000,235.451447,3917.000000,64300788488.000000,43.000000,1,0,1,0,
721.692000,235.576981,2971.000000,64300520984.000000,43.000000,1,0,1,0,
722.232000,238.490082,3692.000000,64301063388.000000,43.000000,1,0,1,0,
