"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2638.404000,582.850769,38325700034.000000,111077354212.000000,35.000000,1,0,1,0,
2636.892000,581.335388,38319808050.000000,111074474563.000000,34.000000,1,0,1,0,
2637.360000,580.324081,38327267246.000000,111078345485.000000,34.000000,1,0,1,0,
2634.480000,579.696091,38320949769.000000,111073395164.000000,33.000000,1,0,1,0,
2632.680000,578.273605,38313505956.000000,111061502303.000000,33.000000,1,0,1,0,
