"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2824.416000,623.010132,38338321837.000000,118515769585.000000,37.000000,1,0,1,0,
2823.732000,623.052429,38333622526.000000,118511667868.000000,36.000000,1,0,1,0,
2823.840000,623.043198,38329090003.000000,118497587220.000000,36.500000,1,0,1,0,
2824.200000,622.955490,38333349225.000000,118505378502.000000,36.000000,1,0,1,0,
2826.360000,622.456284,38326837505.000000,118494638714.000000,36.000000,1,0,1,0,
