"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2223.072000,387.192322,38306078683.000000,107437299695.000000,35.000000,1,0,1,0,
2225.916000,388.358398,38308684618.000000,107441008528.000000,34.500000,1,0,1,0,
2227.320000,387.402100,38305897644.000000,107435827264.000000,34.000000,1,0,1,0,
2222.280000,387.400497,38307826719.000000,107435993272.000000,34.000000,1,0,1,0,
2221.560000,387.467529,38307891272.000000,107437109455.000000,34.500000,1,0,1,0,
