"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2831.400000,489.022324,38353278173.000000,137569401475.000000,35.000000,1,0,1,0,
2830.320000,489.178452,38354879963.000000,137565690224.000000,35.000000,1,0,1,0,
2829.960000,489.361191,38355066201.000000,137567883815.000000,35.000000,1,0,1,0,
2829.240000,489.210434,38354802620.000000,137568301602.000000,35.000000,1,0,1,0,
2829.960000,489.070374,38352930044.000000,137564844740.000000,35.000000,1,0,1,0,
