"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2853.540000,493.825134,38355502029.000000,137864942720.000000,35.000000,1,0,1,0,
2850.012000,492.863464,38355266601.000000,137865173546.000000,34.000000,1,0,1,0,
2853.720000,493.959885,38353453680.000000,137863411172.000000,33.500000,1,0,1,0,
2855.520000,494.919495,38355078862.000000,137863705035.000000,34.000000,1,0,1,0,
2857.320000,495.737839,38355257493.000000,137864949540.000000,34.000000,1,0,1,0,
