"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
2069.100000,360.795532,38296152458.000000,99952516103.000000,35.000000,1,0,1,0,
2069.604000,361.294907,38294490849.000000,99953180030.000000,34.500000,1,0,1,0,
2067.840000,360.769775,38296292827.000000,99953135190.000000,34.000000,1,0,1,0,
2070.000000,362.306473,38294258972.000000,99950983535.000000,35.000000,1,0,1,0,
2065.680000,361.191147,38296395527.000000,99954131258.000000,35.000000,1,0,1,0,
