"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1795.572000,406.547241,38253648637.000000,71071331699.000000,35.000000,1,0,1,0,
1804.320000,407.407745,38253615014.000000,71070730529.000000,36.500000,1,0,1,0,
1796.040000,407.081284,38255554473.000000,71071336386.000000,36.500000,1,0,1,0,
1801.800000,407.747131,38253589160.000000,71070941390.000000,36.000000,1,0,1,0,
1795.320000,407.029114,38255829133.000000,71071306951.000000,35.500000,1,0,1,0,
