"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1508.842800,741.879272,296227.000000,86911402408.000000,55.000000,1,0,1,0,
1509.516000,742.695892,305356.000000,86938397120.000000,54.500000,1,0,1,0,
1509.120000,741.192291,306590.000000,86922370092.000000,55.000000,1,0,1,0,
1508.760000,740.492920,294105.000000,86917999908.000000,55.000000,1,0,1,0,
1508.760000,740.555725,283728.000000,86911563852.000000,55.000000,1,0,1,0,
