"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1370.462400,681.396042,271045.000000,77469898968.000000,56.500000,1,0,1,0,
1370.088000,682.327499,281293.000000,77477353204.000000,58.000000,1,0,1,0,
1371.240000,682.937927,268247.000000,77478462768.000000,58.500000,1,0,1,0,
1371.600000,682.210434,272335.000000,77475437096.000000,58.000000,1,0,1,0,
1370.880000,683.024902,268663.000000,77473333552.000000,58.000000,1,0,1,0,
