"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1773.432000,505.634216,38244171093.000000,65363275952.000000,37.500000,1,0,1,0,
1738.008000,505.454422,38246522046.000000,65364367837.000000,38.000000,1,0,1,0,
1732.680000,505.521301,38244357190.000000,65363834553.000000,38.500000,1,0,1,0,
1732.680000,504.983719,38244400302.000000,65363385362.000000,38.500000,1,0,1,0,
1731.960000,505.222473,38246279541.000000,65363905408.000000,38.000000,1,0,1,0,
