"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1582.333200,511.144974,461307.000000,130032445620.000000,45.000000,1,0,1,0,
1582.452000,510.390594,460680.000000,130046189008.000000,46.000000,1,0,1,0,
1581.048000,510.290237,447017.000000,130024261362.000000,45.500000,1,0,1,0,
1581.120000,509.995956,456694.000000,130043549410.000000,45.500000,1,0,1,0,
1581.120000,510.354813,453668.000000,130036600752.000000,45.500000,1,0,1,0,
