"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
825.829200,354.764160,5389.000000,55751378000.000000,48.500000,1,0,1,0,
822.276000,355.572769,3836.000000,55750523016.000000,49.500000,1,0,1,0,
822.132000,354.850815,3064.000000,55750478672.000000,50.000000,1,0,1,0,
822.168000,355.170471,3330.000000,55751591720.000000,49.500000,1,0,1,0,
822.096000,355.402588,3256.000000,55750029380.000000,49.000000,1,0,1,0,
