"Eval '/home/users/amazouz/Tool/microlaunch/Libraries/energy/energy.so'","Eval '/home/users/amazouz/Tool/likwid_power/likwid_energy.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/pfmcounters/pfmcounters.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/timer/timer.so'","Eval '/home/users/amazouz/Tool/microlaunch/Libraries/cpuTemp/cpuTemp.so'","Id of current run","Number of resumes","Number of arrays","Vector #1 alignment",
1024.070400,318.017700,6416.000000,93336284314.000000,43.000000,1,0,1,0,
1023.804000,317.726196,4786.000000,93334238492.000000,43.500000,1,0,1,0,
1023.984000,318.657578,6043.000000,93337889114.000000,43.500000,1,0,1,0,
1023.156000,318.281830,5275.000000,93335828866.000000,43.000000,1,0,1,0,
1024.200000,318.191132,5260.000000,93340070324.000000,43.500000,1,0,1,0,
